Timestamp,Source IP,Destination IP,Protocol,Website Name,Length
2023-12-11 11:11:57,18.232.199.26,192.168.50.211,IP,Not a valid URL,100
2023-12-11 11:11:57,18.232.199.26,192.168.50.211,IP,Not a valid URL,85
2023-12-11 11:11:57,192.168.50.211,18.232.199.26,IP,Not a valid URL,54
2023-12-11 11:11:57,18.232.199.26,192.168.50.211,IP,Not a valid URL,54
2023-12-11 11:11:57,192.168.50.234,192.168.50.211,IP,Not a valid URL,365
2023-12-11 11:11:57,52.202.15.32,192.168.50.211,IP,Not a valid URL,100
2023-12-11 11:11:57,52.202.15.32,192.168.50.211,IP,Not a valid URL,85
2023-12-11 11:11:57,192.168.50.211,52.202.15.32,IP,Not a valid URL,54
2023-12-11 11:11:57,52.202.15.32,192.168.50.211,IP,Not a valid URL,54
2023-12-11 11:11:58,52.202.15.32,192.168.50.211,IP,Not a valid URL,54
2023-12-11 11:11:58,192.168.50.211,52.202.15.32,IP,Not a valid URL,54
2023-12-11 11:11:59,192.168.50.211,34.117.201.170,IP,Not a valid URL,1292
2023-12-11 11:11:59,34.117.201.170,192.168.50.211,IP,Not a valid URL,1292
2023-12-11 11:11:59,192.168.50.211,34.117.201.170,IP,Not a valid URL,206
2023-12-11 11:11:59,192.168.50.211,34.117.201.170,IP,Not a valid URL,564
2023-12-11 11:12:00,34.117.201.170,192.168.50.211,IP,Not a valid URL,560
2023-12-11 11:12:00,34.117.201.170,192.168.50.211,IP,Not a valid URL,172
2023-12-11 11:12:00,192.168.50.211,34.117.201.170,IP,Not a valid URL,74
2023-12-11 11:12:00,34.117.201.170,192.168.50.211,IP,Not a valid URL,191
2023-12-11 11:12:00,192.168.50.211,34.117.201.170,IP,Not a valid URL,77
2023-12-11 11:12:00,192.168.50.211,18.211.21.156,IP,Not a valid URL,127
2023-12-11 11:12:00,34.117.201.170,192.168.50.211,IP,Not a valid URL,66
2023-12-11 11:12:00,18.211.21.156,192.168.50.211,IP,Not a valid URL,145
2023-12-11 11:12:00,192.168.50.211,18.211.21.156,IP,Not a valid URL,54
2023-12-11 11:12:00,192.168.50.211,18.211.21.156,IP,Not a valid URL,66
2023-12-11 11:12:02,52.202.120.204,192.168.50.211,IP,Not a valid URL,100
2023-12-11 11:12:02,52.202.120.204,192.168.50.211,IP,Not a valid URL,85
2023-12-11 11:12:02,52.202.120.204,192.168.50.211,IP,Not a valid URL,54
2023-12-11 11:12:02,192.168.50.211,52.202.120.204,IP,Not a valid URL,54
2023-12-11 11:12:02,192.168.50.119,224.0.0.251,IP,Not a valid URL,85
2023-12-11 11:12:02,192.168.50.119,224.0.0.251,IP,Not a valid URL,197
2023-12-11 11:12:03,192.168.50.211,162.254.195.66,IP,Not a valid URL,113
2023-12-11 11:12:03,162.254.195.66,192.168.50.211,IP,Not a valid URL,54
2023-12-11 11:12:03,192.168.50.211,192.168.50.1,IP,Not a valid URL,92
